year,open,high,low,close,volume,quote_volume,trades
2018,13715.65,17176.24,3156.26,3702.9,13306474.832511999,95758795973.42581,87349965
2019,3701.23,13970.0,3349.92,7195.23,15329988.542052,121434749794.17665,130861197
2020,7195.24,29300.0,3782.13,28923.63,25733668.062597,286483199160.1582,314308511
2021,28923.63,69000.0,28130.0,46216.93,25522271.99851,1154448470913.8032,670910683
2022,46216.93,48189.84,15476.0,16542.4,53451195.063236,1199375318097.5083,1200493891
2023,16541.77,44700.0,16499.01,42283.58,36605336.71033,920280057083.6449,936588511
2024,42283.58,108353.0,38555.0,93576.0,12931112.169361,849745396455.7384,1015161007
2025,93576.0,126199.63,74508.0,87648.22,7710511.345496,767301523621.0726,1363768475
2026,87648.21,97924.49,60000.0,77524.99,2843489.6887499997,212413620654.49042,597139340
